"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"При нажатии на новость разворачивается ее содержание","13023","Развернуть любую новость","","Fri Sep 20 09:48:04 NOVT 2024","broken","Fri Sep 20 09:48:17 NOVT 2024","","ru.iteco.fmhandroid.ui.test.NewsTest","ru.iteco.fmhandroid.ui.test.NewsTest","shouldShowNewsContent"
"При вводе валидного логина и пароля пользователь переходит на главный экран","12875","Вход в личный кабинет с валидными данными","","Thu Sep 19 19:01:26 NOVT 2024","passed","Thu Sep 19 19:01:39 NOVT 2024","","ru.iteco.fmhandroid.ui.test.AuthTest","ru.iteco.fmhandroid.ui.test.AuthTest","shouldLogInWithValidData"
"Выход из фильтра с помощью кнопки отмена","14724","Отмена фильтра новостей через панель управления","","Fri Sep 20 09:45:13 NOVT 2024","passed","Fri Sep 20 09:45:28 NOVT 2024","","ru.iteco.fmhandroid.ui.test.NewsTest","ru.iteco.fmhandroid.ui.test.NewsTest","shouldCancelFiltering"
"При нажатии на редактирование можно изменить статус новости с Активна на НЕ активна и обратно. Новость отображается с новым статусом","21985","Кликабельность переключателя Активна/Не активна","","Fri Sep 20 09:50:55 NOVT 2024","failed","Fri Sep 20 09:51:17 NOVT 2024","","ru.iteco.fmhandroid.ui.test.NewsTest","ru.iteco.fmhandroid.ui.test.NewsTest","shouldEditNewsStatus"
"При вводе невалидных значений логина и пароля всплывает сообщение о неверных данных","5292","В Полях Логин и Пароль добавить спецсимволы","","Sat Sep 21 20:14:41 NOVT 2024","passed","Sat Sep 21 20:14:46 NOVT 2024","","ru.iteco.fmhandroid.ui.test.AuthTest","ru.iteco.fmhandroid.ui.test.AuthTest","shouldNotLogInWithDifferentLetterCase"
"При попытке авторизации с пустым паролем пользователь не авторизуется, всплывает собщение о незаполненом поле","19888","Вход в личный кабинет с пустым полем Пароль","","Sat Sep 21 20:13:30 NOVT 2024","passed","Sat Sep 21 20:13:50 NOVT 2024","","ru.iteco.fmhandroid.ui.test.AuthTest","ru.iteco.fmhandroid.ui.test.AuthTest","shouldNotLogInWithEmptyPassword"
"При фильтре новостей по статусу Активна/Не активна в списке новостей отображаются только новости с этим статусом","21104","Фильтр новостей через панель управления по статусу","","Fri Sep 20 09:46:57 NOVT 2024","passed","Fri Sep 20 09:47:18 NOVT 2024","","ru.iteco.fmhandroid.ui.test.NewsTest","ru.iteco.fmhandroid.ui.test.NewsTest","shouldCheckFilteredNewsStatus"
"При заполнении текстовых полей спец символами новость не создается","15131","Создать новость со спец символами","","Fri Sep 20 09:52:14 NOVT 2024","broken","Fri Sep 20 09:52:29 NOVT 2024","","ru.iteco.fmhandroid.ui.test.NewsTest","ru.iteco.fmhandroid.ui.test.NewsTest","shouldCreateNewsWithSymbols"
"","32011","emptyAuthorizationTest","","Thu Sep 19 14:30:12 NOVT 2024","passed","Thu Sep 19 14:30:44 NOVT 2024","","ru.iteco.fmhandroid.ui.AuthourizationTest","ru.iteco.fmhandroid.ui.AuthourizationTest","emptyAuthorizationTest"
"При отсутсвии новостей, удовлетворяющим критериям поиска, пользователь видит экран с предупреждающую надпись","13945","Нет новостей, соответствующих критериям, в панели управления","","Fri Sep 20 09:49:02 NOVT 2024","passed","Fri Sep 20 09:49:16 NOVT 2024","","ru.iteco.fmhandroid.ui.test.NewsTest","ru.iteco.fmhandroid.ui.test.NewsTest","shouldShowNothingToShowScreenInControlPanel"
